OS,Description,Value,Scope,Scope Path
windows,Detected by SentinelOne Cloud,44a430a69cbb4e111e31385da50b569db597d261,tenant,Global
windows,Detected by SentinelOne Cloud,bc3581e45c1f62af750f763ca064cd5b3fe3f0a7,tenant,Global
windows,Detected by SentinelOne Cloud,dec06ef16010de8a3a713d929b33bbc0ca0d4380,tenant,Global
windows,Detected by SentinelOne Cloud,8b851e794346d807677f6911cbb519d19fe4486a,tenant,Global
windows,Detected by SentinelOne Cloud,7beb7fc4064983ca5c33e6e511664ccda6d4f135,tenant,Global
windows,Detected by SentinelOne Cloud,563691c5edddf41ec8fb7fd076bf849e1254259c,tenant,Global
windows,Detected by SentinelOne Cloud,dad41c76e8b9c382e8a8723e5323b17f41f946fd,tenant,Global
windows,Detected by SentinelOne Cloud,b49f1c2b3c8c4264b91d8188495686ccab743b6b,tenant,Global
windows,Detected by SentinelOne Cloud,f7614ae9161b49b866f5b6e2333405b5a9b79852,tenant,Global
windows,Detected by SentinelOne Cloud,40bd01e5ad42918e6ea43e721e7e9fc986b788d2,tenant,Global
